Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C8",0402,5,1uF,CL05A105KA5NQNC
"C12, C13",CP_EIA-3528-12_Kemet-T,2,100uF,RVT1E101M0607
C14,C_Elec_6.3x7.7,1,330uF,TAJD337K010RNJ
"C15, C6",0402,2,0.1uF,CL05B104KO5NNNC
"C16, C17, C18, C19, C20, C21, C22, C23",0805,8,10uF,CL10A106MA8NRNC
C4,0402,1,100pF,0402N101J500CT
C5,0402,1,4.7uF,CL05A475MP5NRNC
C7,0402,1,6.8pF,0402CG6R8C500NT
C9,0603,1,10uF,CL10A106MA8NRNC
D1,SOD-523,1,RB521S30T1G,RB521S30T1G
"D2, D3",0603,2,LED,BL-HUF36D-AV-TRB
D4,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6 
J2,RJ45_UDE_RB1-125B8G1A,1,RJ45_RB1-125B8G1A,RB1-125B8G1A
J5,SODIMM-DDR4_8mm-NANO,1,2309414-1,2309414-1
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
J7,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle,1054500101
J8,PinSocket_1x02_P2.54mm_Vertical,1,PROG,
J9,PinSocket_1x02_P2.54mm_Vertical,1,reset,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,2.2uH,YSPI0730-2R2M 
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-523,6,DMN26D0UT-7,DMN26D0UT-7
"R1, R10, R6",0603,3,100k,0402WGF1003TCE
"R11, R12, R13, R20, R21, R29, R34",0603,7,12k,0805W8F1202T5E
R14,0603,1,100R,0402WGF1000TCE
"R15, R18, R32, R33",0603,4,0,0402WGF0000TCE
R16,0603,1,4.7k,0402WGF4701TCE
"R17, R22",0603,2,150r,0603WAF1500T5E 
R19,0603,1,1k,0402WGF1001TCE
"R23, R24, R25, R26, R27, R28",0603,6,2.2k,0603WAF2201T5E
"R30, R31, R7",0603,3,5.1k,0402WGF5101TCE
R35,0603,1,100k,0402WGF1004TCE
"R36, R37",0603,2,??,0402WGF1000TCE
"R4, R5",0603,2,220R,0402WGF2200TCE
R8,0603,1,470K,0805W8F4703T5E
R9,0603,1,120k,0402WGF1203TCE
"U1, U4",SOT-353_SC-70-5,2,74LVC1G126,"74LVC1G126GW,125 "
U2,SOT-23-6,1,TLV62569DDC,TLV62569DBVR
U3,SOT-353_SC-70-5,1,TLV70018DCKT,TLV70018DCKT
U5,CONV_AL8861Y-13,1,~,
